"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"3. Agropecuária","13945.881663324806","11300.565861283865","9584.728650415247","9361.826363751461","9327.506791287082","8885.1735558851","7766.284950629458","7361.387222920024","8751.358359201391","11447.631160912897","10489.685381244139","8177.414682187775","7585.577748726827","10547.40432179116","11048.316966298105","9311.170015256328","9178.398301701063","8534.412641078856","9648.847260352304","9918.266823408507","9653.65525846699","9394.881951954823","9179.835741260686","7791.377936134097","7388.085555718653","7512.900689624798","7728.995390618304","8701.868745478754","8240.0532813137","6779.72347555373","7165.402304371667","7865.503901281224","8240.609064186181","9788.277959442094","11245.842581904115","10875.596637708013","17856.36634262211"
"3.1. Pastagem","13945.881663324806","11300.565861283865","9584.728650415247","9361.826363751461","9327.506791287082","8885.1735558851","7766.284950629458","7361.387222920024","8751.358359201391","11447.631160912897","10489.685381244139","8177.414682187775","7585.577748726827","10547.40432179116","11048.316966298105","9311.170015256328","9178.398301701063","8534.412641078856","9648.847260352304","9918.266823408507","9653.65525846699","9394.881951954823","9179.835741260686","7790.752992408511","7386.389587786524","7486.567727411663","7549.424274016741","8504.082914723138","8219.07013908958","6779.187706150654","7164.151304249596","7835.215212450657","8191.915680610742","9750.486590820268","11080.760649457825","10677.903273126714","17117.21014130112"
"3.2. Agricultura","","","","","","","","","","","","","","","","","","","","","","","","0.6249437255859376","1.6959679321289063","26.332962213134774","179.57111660156255","197.78583075561528","20.983142224121092","0.5357694030761718","1.2510001220703126","30.288688830566407","48.69338357543948","37.79136862182618","165.0819324462891","197.6933645812988","739.1562013209918"
"3.2.1. Lavoura Temporária","","","","","","","","","","","","","","","","","","","","","","","","0.6249437255859376","1.6959679321289063","26.332962213134774","179.57111660156255","197.78583075561528","20.983142224121092","0.5357694030761718","1.2510001220703126","30.288688830566407","48.69338357543948","37.79136862182618","165.0819324462891","197.6933645812988","739.1562013209918"
"3.2.1.1. Soja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.2. Cana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.3. Arroz (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.4. Algodão (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.5. Outras Lavouras Temporárias","","","","","","","","","","","","","","","","","","","","","","","","0.6249437255859376","1.6959679321289063","26.332962213134774","179.57111660156255","197.78583075561528","20.983142224121092","0.5357694030761718","1.2510001220703126","30.288688830566407","48.69338357543948","37.79136862182618","165.0819324462891","197.6933645812988","739.1562013209918"
"3.2.2. Lavoura Perene","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.2.1. Café (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.2.2. Citrus (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.2.3. Outras Lavouras Perenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.3. Silvicultura (monocultura)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.4. Mosaico de Usos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4. Área não Vegetada","13.664602496337894","9.199527850341793","38.405395556640656","222.5553378417972","351.7759076538089","345.9468772277833","245.20653549804706","171.00127656250012","99.11720104980469","39.46953174438476","22.86386662597655","13.21825286254883","8.930159613037112","4.911965698242187","3.6617247131347646","4.286970727539064","3.125899005126953","2.3219986206054686","1.696834857177734","0.7144271850585938","","","","0.625159765625","2.5899100158691404","2.5899411682128908","0.8931079711914064","2.590133038330078","4.63722639614928","6.868467790192248","4.242669237443512","20.569520293351683","103.99417098304902","363.5723711905711","684.635070360493","923.4447013358274","1559.8258998475246"
"4.1. Praia, Duna e Areal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.2. Área Urbanizada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.3. Mineração","13.664602496337894","9.199527850341793","38.405395556640656","222.5553378417972","351.7759076538089","345.9468772277833","245.20653549804706","171.00127656250012","99.11720104980469","39.46953174438476","22.86386662597655","13.21825286254883","8.930159613037112","4.911965698242187","3.6617247131347646","4.286970727539064","3.125899005126953","2.3219986206054686","1.696834857177734","0.7144271850585938","","","","0.625159765625","2.5899100158691404","2.5899411682128908","0.8931079711914064","2.590133038330078","4.63722639614928","6.868467790192248","4.242669237443512","20.569520293351683","103.99417098304902","363.5723711905711","684.635070360493","923.4447013358274","1559.8258998475246"
"4.4. Outras Áreas não Vegetadas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5. Corpo D`água","20009.032411812055","20735.40011427291","22468.38683294316","23911.284866211274","24663.101018642978","24220.66825335927","23554.292137553883","22338.761591531475","22201.645452207315","21705.41848028426","21182.02200600331","22236.99298570514","21207.98086880839","20753.14638043456","21001.31391865167","19029.65768216755","18255.180237570086","18032.32688816709","18055.235397545694","18160.677692742887","18808.410417897612","19388.431081665585","19235.553492797106","19440.854336088414","19298.67554174518","18792.198481455645","18818.646905670565","18394.37916379191","17917.91491164345","17938.953155618135","17320.728136743004","17095.011279024315","18172.26098135712","18377.2815222176","18405.539580843368","18854.135167951805","18438.99016763549"
"5.1. Rio, Lago e Oceano","20009.032411812055","20735.40011427291","22468.38683294316","23911.284866211274","24663.101018642978","24220.66825335927","23554.292137553883","22338.761591531475","22201.645452207315","21705.41848028426","21182.02200600331","22236.99298570514","21207.98086880839","20753.14638043456","21001.31391865167","19029.65768216755","18255.180237570086","18032.32688816709","18055.235397545694","18160.677692742887","18808.410417897612","19388.431081665585","19235.553492797106","19440.854336088414","19298.67554174518","18792.198481455645","18818.646905670565","18394.37916379191","17917.91491164345","17938.953155618135","17320.728136743004","17095.011279024315","18172.26098135712","18377.2815222176","18405.539580843368","18854.135167951805","18438.99016763549"
"5.2. Aquicultura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6. Não observado","96.05562787016014","96.24380141199433","76.62776467699236","71.69528404148473","66.88969319484337","57.23483118724154","96.38917557373034","97.07989834376899","95.57968893233942","95.71218847364226","95.8142677438054","95.33300521300059","59.16992674572518","82.54946957933619","94.57560567547955","81.96553241210943","89.6663239897364","76.89833588946179","75.5096654329188","55.778741269028664","77.23080314036646","61.826410187653295","65.70215759566959","71.92147100461482","56.653893355808705","84.3637664515119","63.85850919392914","81.11214478453397","81.54345297482965","87.79850218017569","84.07645786805415","84.00017306020715","89.8632415022307","87.10197748717067","91.6287150354242","87.33141304093918","10.460771392247818"
